fgiadcfabdhiecgcefhfefeeciedcb,3
bghfcdbaecdfgiadafaieicihdccbe,4
agidfedadgcaaeieccabcdbahgcdeh,1
gchcdfcghghhcfghbbeicfcdecfgbg,2
hgbdghafccgchicaafgdcagcdfcbbe,2
febcfhggcbgaaidbagbbdgbfdcccid,0
dbeccgbebfcefhggbidgdgigcddhcg,3
aidiicbbefghdcdhgccheebeehefcf,0
igihfghgdbfaahfbcdegheefdgidii,1
ieihgdebdgbdicgfbgecdacbdbhcfb,2
edigcdfcfbbccbibdggdhefifdegcf,2
eifaidbagbeidhhgggiddcbcdfibhf,0
gaiegigbihdehfaaidegdbgchdgdhc,0
dacahbidchdaihdbhcdicfiicdbbfh,2
cdfgecdhfaidhhbgghhgddbibegghf,4
fgdbcaiiidfbcfiagcicggdfcdacic,2
ffgcacdgaidgcabicbhcgbbdifihfc,0
bdedbbbcdhebgbceffdbaidfcebgbf,0
fbhechfhbcdcihibdddiihhcdcbifh,1
diegihgghifdfdhaedfddbcdfihiei,1
iddghhhacdigcddefaieddeiigcheh,4
eabceffgfegcigdiefggegigfgbddc,3
hdafhdicigaifgbcdafhecfffgcbeg,1
igadhdhhdbcdcfhhhicdgbicecihgi,1
ediefeggdeiecccdaaaiddecbhgihbbi,0
fbfbdibefacefibgbgiggcfbhehibi,3
cdbghebgfaighiceidbdfhbfibgfei,4
eadgbacdfecccefbfhfciebfcfgfie,3
aaaaadagaidfigbhgcdcfbddgcfdhb,0
bhcfchbceaaidecfbfgfechihgbcih,0
chadbeedadiddbfhdddiicddchbieg,2
dfgcdicigchfbeiegcfhdcdcfgcceg,2
bibaefbgbageheidihfeffadebfcef,3
achgaehdfehabiaidcefbhifieicig,0
gciafffccaidiiibcdfbehecebeegh,0
bhcdgibecdacbfbgebibifigdbdibh,2
adfbbaeeaeiiaheeffcefgdcfhdcfc,3
bhhbhffegabhhheibcefbhdhideccd,3
hfbcdhbbfdbfaiiihccicegcfcbbff,4
eibbdifhcdbehgcefiechefdfdcceh,3
fbheffecfeeafegcdidiheefacefcf,3
ghccfdhbgbiihhdabhbaidfcibceff,0
iiacggifeaahcdfcgefhdfchgiheec,2
iiiefcgabdcadecacdicfibcgbbgfi,2
deefhgadcagcdcabbaafaiddfhfbbh,4
ghiiibaecdfbihbbfaiigiibcbhffh,4
bfeiecebgbagdhfcdhhcgehfaigfhc,4
ceeiigcgfgicgfcdhaacbcdbdhcecc,1
igadhgebicefcbdihedhbfdeibihdc,3
daedcdeihhfichchcdebdeiifaiich,4
aedfbiaabbbgafiaaccfdfaidbifbg,0
beghgahedieghegaidebabhdciffbb,0
cgbagegacdagaidggibeffheiceefc,0
fiacehacefdigehdigdgidgdddfbfb,3
dbcdiehhhidichdiefbbhecfgddhdf,1
ddfgcciadcdfchfbfifefffgcgccfh,2
igdhihgegbcdgahbididedbieccfci,1
gabaacaggibddgcebdcdcifdccfaif,4
fbdbeicfiagecgfgcdfiagaffaiccc,4
hcfhdffadefbhbggcacdhaefhffaig,4
fcabccbgfecdccbgigdggibeiighch,2
aebgecbcdeehdibbbbegicbcgcedcg,1
caefccdiabfdhfaiihfcchdediefbb,4
gbhiachecacefcffhbdhfhghbhiheh,3
bbhhcfgcgddabcdgdhhhifgihbdhdb,1
acdfahgbcdgehdgfgefedgebbdbfeh,1
bggbffehafifegeihgifffbcdehhgh,1
deggdbcdhfhfhefbhggbbebbgdifec,1
iigcaidigbbfiiehchicfcbdifihge,0
dahieefedadfdgggiaidfcibhhehgh,0
cefecefihefhchebddcccfehgbbddb,3
efhbccfidbaiddeabcfbffhchdhhbh,0
ccafgafcdfchfdfebigecebhfifdic,2
ifdbhfbaicafihfgidbecebcdgahgg,1
bhifibhbahbgdddchicdhcebeghbfg,2
faidhfbbedfehgbdhebcbgddggdbec,0
dbgbcacgibeifghagaiddacbfhfcih,0
dcbcdbihigfbcgbdhbfieebhfediic,1
fdcifhiecaghbgabheefchcdbccbgi,2
ifeedbeiadcdhfifdafaiffcbbdfhc,4
chhhdeieihahgcaaidhhcbgdibgdch,0
aidfgfbbghcigbdcedhhebeechiihh,0
afcbgichbgcdbchihbddhegcbihbef,2
eeebcgcdaifefecefbdicfbhcdebbc,3
hegcdgfgacicdidccfgfaichfhcbdi,4
gbgcdgaidccifbcgbagcibegcdccic,2
bghdeedicdecbihdhecbgicbgfigei,2
egachhcgcgichacegehbehchcdicdg,2
aabgdbdcfhiegacefgfifhbihhdcgc,3
hhebeabcefffdfghccdigefhfihhgb,3
higfgadhhhddfcaidgfhbiebgbehbh,0
gdgbagcdgedbgifaigfehdfdgchccd,4
cchdcbecdddahbffaihbfbhfecifh,4
hhdcgefdacdahgfihfaidbhiiighhf,4
cgddibaciifihdccceefcefcdcfdhh,3
hdcdadhhdgfaidiidchbibidffcfde,4
ibdfeibggfcchigahbcdidhedhiefe,1
eigfahidcdiaihdachbcdbhhicbfeg,1
dahecicefehgggbccggbbgcggdfidc,3
aacddibfhafaiechhiiiccichieccb,4
hgeiegbiigbeicfcdichbdhghifihe,2
gabbcddghgfgdhgbichifhgedegcig,1
ieacdgcfdeiiiefdfgegiibfcgdbcc,2
echcdffiaebafaeiaibdddeieficef,3
ebiafeedfahciihaaaecdfgaghgfai,4
hgecfeigbaidcdbbcgccdehddcbffi,0
cbbgcbbebbcdeihhecgeidfifeeebc,1
hfacdicfcfgcgfhecfghhghefecgbc,2
gbcdhbhdbigfifgcdegfebcciigfcb,1
aecdfagcdgfaichgeigfhfgbdhbcei,4
icegegbaiddcbbidbicefifbdgbhdg,0
ediiaghhahadecbcdgahcdbfhbhhic,1
ifdgedicbebhiieiaabcdhiheddgdi,1
aaahbgfhhbihidaeabcefgcbegbddh,3
bffegcbagefadchcdgiedigfaiicfh,4
fdbaacbdhhcbhccdedagdhfaiefcde,4
dcgeaeahcefcfhdfhddfbgdiecdhdi,3
ieaieceebfcaibieifcefhecbihibf,3
afghgbgaacbiedfiheeihcefdfbgcd,3
dgfgbeegcefdhfhedddddfefihddhg,3
fiffbecgdfaadabeegfcefhdcfideh,3
gcbeihegegfdhbeacdaeicaffaiccf,4
bfggfbeeebadfhidhgaiaidaigbhce,0
bdeiaefegeeahccbcbghfaidchfbie,0
bfgbcdcgheiebibgbhhfhfeicggigd,1
dcabdhbiffahaebhcgihbcddhhcbce,1
aaadcfhihbcddfhfgehgccihghcfgb,1
dibaebfcefdbfdbhdfbfhiiecbehdi,3
fficcfhaafhgcdecdibecedidcbcfb,2
ecagceggcedbbecifahcdfahiddfai,4
caidecgbhgefidhidfbibiihcffcef,0
ghcdgcidggcgdbicegebfgbcgegcch,2
bagehfgfahfffifcdibcdighdfeede,1
dccbfcggecdggbifefaifcgihfhhbe,4
aigicfhfifehbaggfbdfebdcefhdbc,3
hdiaideggbibdebfecffbebdhccbbe,0
bbghieaacefcbiebgehhbbfhggdifh,3
dicdffgehafaighcigccficgdfidib,4
bcigeefhgggadfegcdceaigifaihhf,4
gcfafiahhfcdbgacdagfihifaificd,4
adeacfdhchaebicefdddicdibgcddh,3
gghfcddgchegfaihcbghhfeeebbefd,4
gdihbbcagbeiegebiecgeageggcefi,3
hffacbehgeaaceffihcgbfcgcbgefi,3
dibcghgfhchffadcdgbacidfaiichc,4
cgdcdiebiehidehhaiddefbeffefbh,0
bhcdedadcadgcgchaeddbdbcdefhei,1
icfhffgbedfehehbbhcbfcbhbcdecb,2
cdgfaeebiabbefccefdgchigcebdfd,3
dbbhfgbdeciecdggiffbfaigcdfhfd,4
caadahbebcgagaeiifchbcdfbhbcfe,1
dhbdcadggcaicdedicbcdeahibgihf,1
caabcddbcdfbhefbdhgdggfchbhfhc,1
gbbhiibiggacddbgdiffaiifghdbch,4
cfihhbggbfhagadfdiccdbccghcdbc,2
hhbaahheaidaaebegefebegeihchge,0
aibbcahdagcdgbaaedfaibihcfifcc,4
fciigdafeahafeeahdcaidbggbhbei,0
ibcachhdibcdhdhedbcdiggcfbgfhc,1
gcigehcechbhbdeigeaifbdbcdhahe,1
ibaiheccdafehecfaighfgebgehiff,4
aidcefbiddhebdhfgcbecifhghhfef,0
hffhdbeafibgagfeaecfcdfcdhgdei,2
baefcbbedaidfbfbdcdficbibeiidc,0
bcbebbcbbcdefhedidcdebieffhhbb,1
fcfabechciifdigigibcdchhcffbbc,1
dcdbfgfabcdddbahffaiiggfihecce,4
fbghaadffcdcggagefaiidiifhbefh,4
caabfgbcdidhgddfcbhcgbgdbbgdfg,1
ighbcdhdhhcbbcdcibcbghbdeehfib,1
fhciedbidcdcadebifaiiidfgbbbbc,4
cadbegdaggfhdaidddbbcgfcbihbhb,0
eicbibhdeehagiagcdggbdidfaifbh,4
afabcdgihfcieghifdfdhdcbfebhde,1
hdhfebbgbdfigdahdddhgbggbcdbih,1
iihhdcfeciaidgcibghbbhcfgbehfi,0
fahaidfhdbhbcieidgefihgeghhege,0
aahacacfahcbgdhaaeihfffaideibb,0
bdadfigaeiacefbbedegbbiidgeghh,3
fhfidcafdcffgeficefdddefhhhchh,3
edihhecaiggeeccefggcdiigbegidg,3
igcdeiabgeaidaihbbfgegdccchdfh,0
eefacegiggcdgciedhcfhdeiibcggc,2
fcbegacefeiieeeceiieefedfibegb,3
agdccdbgcdaidiefbgedcicgecifge,0
daeiiabehaibcebhagfbeibaidibfb,0
chfeahbbbcbbcdhdhgefbbfdfchbdd,1
chcaecdaacacifaiicbieghbdecedc,4
eigcefgcdghcfcgbiiffehgihhccch,3
aeibcefbbeehbehficcbbdeggffhbi,3
ecdechidhididcedibgeghdebididh,2
heiiaifaibdghgedficdeecddffaid,4
fcigebegdaahfefbiffcgbegfcefii,3
iebafifhaahieedbeiecbeeicefhbe,3
hiidcgheiicdgidbhdfaieegicgfhe,4
eigbghhdbicdidebdifaiegdicggcc,4
iifeidcbaicgebchbfebehehfcefcd,3
aecgiffgehbgaihhiigbcbaiedacef,3
bicifgbacecidacabbabaechcefehi,3
ehcfcbcaebgcefghgbdfidhdeihegc,3
bcdgcbfciechddeifidhheeeicdidf,2
diaiafdcdaafaabfaieefdegeiiccb,4
bgfafbcbcdedhffehbfiihgdhbgdce,1
bcddfegiefaiffgbibcidifheedfde,4
dcbafdbhfggcibghdfhdfgehgcefeg,3
hcdechbidiehcdiebidcffcifggcbc,2
ggdecgegdciacdgdiifafaiidigchc,4
dffacicdddchgffaiiecgdghhcbdcd,4
aegeedeifcefeefhfcchhhcecebbfh,3
dbfggegiaahgagbgbdgbfhebbcefch,3
bdbebgdecgiagahcdabaidaicbgbbf,0
aieehecedgfbfdcahaidiiabbfcihb,0
fdeheihchhhafedibcdeihgbhfdccd,1
bgfbifeefcebddchiiaehdchcddcbc,2
gdcfcfaidaghbfhbgbheddbhbidbhh,0
